Batch Size: 32, Learning Rate: 0.0005
Accuracy: 0.8996875882148743, Precision: 0.9071344137191772, Recall: 0.8903360366821289, F1: 0.891499400138855
Balanced Accuracy: 0.8903360366821289
Matthews Correlation Coefficient (MCC): 0.8982845544815063
Cohen’s Kappa: 0.8980509042739868
Per-Class Precision, Recall, and F1 Scores:
Class 0 - Precision: 1.0, Recall: 0.9836065769195557, F1: 0.9917355179786682
Class 1 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 2 - Precision: 0.9523809552192688, Recall: 0.8695651888847351, F1: 0.9090909361839294
Class 3 - Precision: 0.8600000143051147, Recall: 0.9347826242446899, F1: 0.8958333134651184
Class 4 - Precision: 0.8070175647735596, Recall: 1.0, F1: 0.893203854560852
Class 5 - Precision: 0.930232584476471, Recall: 0.8695651888847351, F1: 0.898876428604126
Class 6 - Precision: 0.9714285731315613, Recall: 0.739130437374115, F1: 0.8395061492919922
Class 7 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 8 - Precision: 1.0, Recall: 0.9347826242446899, F1: 0.966292142868042
Class 9 - Precision: 0.6666666865348816, Recall: 0.2857142984867096, F1: 0.4000000059604645
Class 10 - Precision: 0.8214285969734192, Recall: 1.0, F1: 0.9019607901573181
Class 11 - Precision: 0.9777777791023254, Recall: 0.95652174949646, F1: 0.9670329689979553
Class 12 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 13 - Precision: 0.8048780560493469, Recall: 0.717391312122345, F1: 0.7586206793785095
Class 14 - Precision: 0.9743589758872986, Recall: 0.8260869383811951, F1: 0.8941176533699036
Class 15 - Precision: 0.8837209343910217, Recall: 0.8260869383811951, F1: 0.8539325594902039
Class 16 - Precision: 0.7692307829856873, Recall: 0.5555555820465088, F1: 0.6451612710952759
Class 17 - Precision: 0.8541666865348816, Recall: 0.8913043737411499, F1: 0.8723404407501221
Class 18 - Precision: 0.6935483813285828, Recall: 0.8958333134651184, F1: 0.7818182110786438
Class 19 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 20 - Precision: 0.8653846383094788, Recall: 0.97826087474823, F1: 0.918367326259613
Class 21 - Precision: 0.9772727489471436, Recall: 0.9347826242446899, F1: 0.9555555582046509
Class 22 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 23 - Precision: 0.9285714030265808, Recall: 0.8478260636329651, F1: 0.8863636255264282
Class 24 - Precision: 0.8888888955116272, Recall: 0.695652186870575, F1: 0.7804877758026123
