Batch Size: 64, Learning Rate: 0.0005
Accuracy: 0.8858035206794739, Precision: 0.9013286232948303, Recall: 0.8746107816696167, F1: 0.8766072392463684
Balanced Accuracy: 0.8746107816696167
Matthews Correlation Coefficient (MCC): 0.8842155337333679
Cohen’s Kappa: 0.8839259147644043
Per-Class Precision, Recall, and F1 Scores:
Class 0 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 1 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 2 - Precision: 0.9333333373069763, Recall: 0.9130434989929199, F1: 0.9230769276618958
Class 3 - Precision: 0.9375, Recall: 0.97826087474823, F1: 0.957446813583374
Class 4 - Precision: 0.9750000238418579, Recall: 0.8478260636329651, F1: 0.9069767594337463
Class 5 - Precision: 0.7719298005104065, Recall: 0.95652174949646, F1: 0.8543689250946045
Class 6 - Precision: 0.9756097793579102, Recall: 0.8695651888847351, F1: 0.9195402264595032
Class 7 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 8 - Precision: 1.0, Recall: 0.95652174949646, F1: 0.9777777791023254
Class 9 - Precision: 0.75, Recall: 0.4285714328289032, F1: 0.5454545617103577
Class 10 - Precision: 0.9555555582046509, Recall: 0.9347826242446899, F1: 0.9450549483299255
Class 11 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 12 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 13 - Precision: 0.837837815284729, Recall: 0.6739130616188049, F1: 0.7469879388809204
Class 14 - Precision: 0.7551020383834839, Recall: 0.804347813129425, F1: 0.7789473533630371
Class 15 - Precision: 0.8666666746139526, Recall: 0.8478260636329651, F1: 0.8571428656578064
Class 16 - Precision: 0.800000011920929, Recall: 0.4444444477558136, F1: 0.5714285969734192
Class 17 - Precision: 0.8260869383811951, Recall: 0.8260869383811951, F1: 0.8260869383811951
Class 18 - Precision: 0.6610169410705566, Recall: 0.8125, F1: 0.7289719581604004
Class 19 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 20 - Precision: 0.9166666865348816, Recall: 0.95652174949646, F1: 0.936170220375061
Class 21 - Precision: 1.0, Recall: 0.95652174949646, F1: 0.9777777791023254
Class 22 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 23 - Precision: 0.8863636255264282, Recall: 0.8478260636329651, F1: 0.8666666746139526
Class 24 - Precision: 0.9230769276618958, Recall: 0.782608687877655, F1: 0.8470588326454163
Class 25 - Precision: 0.7818182110786438, Recall: 0.9347826242446899, F1: 0.8514851331710815
Class 26 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 27 - Precision: 1.0, Recall: 0.9130434989929199, F1: 0.9545454382896423
Class 28 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 29 - Precision: 0.75, Recall: 0.782608687877655, F1: 0.7659574747085571
Class 30 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 31 - Precision: 0.9189189076423645, Recall: 0.739130437374115, F1: 0.8192771077156067
Class 32 - Precision: 1.0, Recall: 0.8913043737411499, F1: 0.9425287246704102
Class 33 - Precision: 0.9047619104385376, Recall: 0.8260869383811951, F1: 0.8636363744735718
Class 34 - Precision: 1.0, Recall: 0.0810810774564743, F1: 0.15000000596046448
Class 35 - Precision: 0.9599999785423279, Recall: 0.75, F1: 0.8421052694320679
Class 36 - Precision: 0.8695651888847351, Recall: 0.8695651888847351, F1: 0.8695651888847351
Class 37 - Precision: 0.8627451062202454, Recall: 0.95652174949646, F1: 0.907216489315033
Class 38 - Precision: 0.5784313678741455, Recall: 0.9672130942344666, F1: 0.7239263653755188
Class 39 - Precision: 0.8888888955116272, Recall: 0.8695651888847351, F1: 0.8791208863258362
Class 40 - Precision: 0.8837209343910217, Recall: 0.8260869383811951, F1: 0.8539325594902039
Class 41 - Precision: 0.8205128312110901, Recall: 0.695652186870575, F1: 0.7529411911964417
Class 42 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 43 - Precision: 1.0, Recall: 0.9830508232116699, F1: 0.9914529919624329
Class 44 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 45 - Precision: 0.6507936716079712, Recall: 0.8913043737411499, F1: 0.752293586730957
Class 46 - Precision: 0.95652174949646, Recall: 0.95652174949646, F1: 0.95652174949646
