Batch Size: 16, Learning Rate: 0.0005
Accuracy: 0.8951752781867981, Precision: 0.9019868969917297, Recall: 0.8869328498840332, F1: 0.8875612616539001
Balanced Accuracy: 0.8869328498840332
Matthews Correlation Coefficient (MCC): 0.8936460018157959
Cohen’s Kappa: 0.893466055393219
Per-Class Precision, Recall, and F1 Scores:
Class 0 - Precision: 1.0, Recall: 0.9836065769195557, F1: 0.9917355179786682
Class 1 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 2 - Precision: 0.949999988079071, Recall: 0.8260869383811951, F1: 0.8837209343910217
Class 3 - Precision: 0.8627451062202454, Recall: 0.95652174949646, F1: 0.907216489315033
Class 4 - Precision: 0.8679245114326477, Recall: 1.0, F1: 0.9292929172515869
Class 5 - Precision: 0.9268292784690857, Recall: 0.8260869383811951, F1: 0.8735632300376892
Class 6 - Precision: 0.7222222089767456, Recall: 0.8478260636329651, F1: 0.7799999713897705
Class 7 - Precision: 1.0, Recall: 0.8913043737411499, F1: 0.9425287246704102
Class 8 - Precision: 0.9583333134651184, Recall: 1.0, F1: 0.978723406791687
Class 9 - Precision: 0.4285714328289032, Recall: 0.4285714328289032, F1: 0.4285714328289032
Class 10 - Precision: 0.936170220375061, Recall: 0.95652174949646, F1: 0.9462365508079529
Class 11 - Precision: 0.97826087474823, Recall: 0.97826087474823, F1: 0.97826087474823
Class 12 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 13 - Precision: 0.8205128312110901, Recall: 0.695652186870575, F1: 0.7529411911964417
Class 14 - Precision: 0.7916666865348816, Recall: 0.8260869383811951, F1: 0.8085106611251831
Class 15 - Precision: 0.6833333373069763, Recall: 0.8913043737411499, F1: 0.7735849022865295
Class 16 - Precision: 1.0, Recall: 0.3333333432674408, F1: 0.5
Class 17 - Precision: 0.970588207244873, Recall: 0.717391312122345, F1: 0.824999988079071
Class 18 - Precision: 0.6451612710952759, Recall: 0.8333333134651184, F1: 0.7272727489471436
Class 19 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 20 - Precision: 0.9772727489471436, Recall: 0.9347826242446899, F1: 0.9555555582046509
Class 21 - Precision: 0.9333333373069763, Recall: 0.9130434989929199, F1: 0.9230769276618958
Class 22 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 23 - Precision: 0.5945945978164673, Recall: 0.95652174949646, F1: 0.7333333492279053
Class 24 - Precision: 1.0, Recall: 0.52173912525177, F1: 0.6857143044471741
