Batch Size: 16, Learning Rate: 0.0001
Accuracy: 0.9139187932014465, Precision: 0.9191970825195312, Recall: 0.9055581092834473, F1: 0.9080861210823059
Balanced Accuracy: 0.9055581092834473
Matthews Correlation Coefficient (MCC): 0.9126126170158386
Cohen’s Kappa: 0.9125127196311951
Per-Class Precision, Recall, and F1 Scores:
Class 0 - Precision: 0.89552241563797, Recall: 0.9836065769195557, F1: 0.9375
Class 1 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 2 - Precision: 0.8799999952316284, Recall: 0.95652174949646, F1: 0.9166666865348816
Class 3 - Precision: 1.0, Recall: 0.8913043737411499, F1: 0.9425287246704102
Class 4 - Precision: 0.8979591727256775, Recall: 0.95652174949646, F1: 0.9263157844543457
Class 5 - Precision: 0.9534883499145508, Recall: 0.8913043737411499, F1: 0.9213483333587646
Class 6 - Precision: 0.9318181872367859, Recall: 0.8913043737411499, F1: 0.9111111164093018
Class 7 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 8 - Precision: 0.9583333134651184, Recall: 1.0, F1: 0.978723406791687
Class 9 - Precision: 1.0, Recall: 0.4285714328289032, F1: 0.6000000238418579
Class 10 - Precision: 0.957446813583374, Recall: 0.97826087474823, F1: 0.9677419066429138
Class 11 - Precision: 0.9767441749572754, Recall: 0.9130434989929199, F1: 0.9438202381134033
Class 12 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 13 - Precision: 0.7941176295280457, Recall: 0.5869565010070801, F1: 0.675000011920929
Class 14 - Precision: 0.7799999713897705, Recall: 0.8478260636329651, F1: 0.8125
Class 15 - Precision: 0.9428571462631226, Recall: 0.717391312122345, F1: 0.8148148059844971
Class 16 - Precision: 0.692307710647583, Recall: 0.5, F1: 0.5806451439857483
Class 17 - Precision: 0.8837209343910217, Recall: 0.8260869383811951, F1: 0.8539325594902039
Class 18 - Precision: 0.5694444179534912, Recall: 0.8541666865348816, F1: 0.6833333373069763
Class 19 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 20 - Precision: 0.9387755393981934, Recall: 1.0, F1: 0.9684210419654846
Class 21 - Precision: 1.0, Recall: 0.9347826242446899, F1: 0.966292142868042
Class 22 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 23 - Precision: 0.800000011920929, Recall: 0.95652174949646, F1: 0.8712871074676514
Class 24 - Precision: 0.8292682766914368, Recall: 0.739130437374115, F1: 0.7816091775894165
Class 25 - Precision: 0.9047619104385376, Recall: 0.8260869383811951, F1: 0.8636363744735718
Class 26 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 27 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 28 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 29 - Precision: 0.7222222089767456, Recall: 0.8478260636329651, F1: 0.7799999713897705
Class 30 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 31 - Precision: 0.875, Recall: 0.760869562625885, F1: 0.8139534592628479
Class 32 - Precision: 0.9736841917037964, Recall: 0.804347813129425, F1: 0.8809523582458496
Class 33 - Precision: 1.0, Recall: 0.9130434989929199, F1: 0.9545454382896423
Class 34 - Precision: 0.8780487775802612, Recall: 0.9729729890823364, F1: 0.9230769276618958
Class 35 - Precision: 0.939393937587738, Recall: 0.96875, F1: 0.9538461565971375
Class 36 - Precision: 0.9166666865348816, Recall: 0.95652174949646, F1: 0.936170220375061
Class 37 - Precision: 0.9166666865348816, Recall: 0.95652174949646, F1: 0.936170220375061
Class 38 - Precision: 0.9344262480735779, Recall: 0.9344262480735779, F1: 0.9344262480735779
Class 39 - Precision: 0.7678571343421936, Recall: 0.9347826242446899, F1: 0.843137264251709
Class 40 - Precision: 0.875, Recall: 0.760869562625885, F1: 0.8139534592628479
