Batch Size: 64, Learning Rate: 0.0002
Accuracy: 0.9021173119544983, Precision: 0.8995046615600586, Recall: 0.8926833868026733, F1: 0.8929245471954346
Balanced Accuracy: 0.8926833868026733
Matthews Correlation Coefficient (MCC): 0.9006199240684509
Cohen’s Kappa: 0.9005224108695984
Per-Class Precision, Recall, and F1 Scores:
Class 0 - Precision: 0.9838709831237793, Recall: 1.0, F1: 0.9918699264526367
Class 1 - Precision: 1.0, Recall: 0.9615384340286255, F1: 0.9803921580314636
Class 2 - Precision: 0.957446813583374, Recall: 0.97826087474823, F1: 0.9677419066429138
Class 3 - Precision: 0.9583333134651184, Recall: 1.0, F1: 0.978723406791687
Class 4 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 5 - Precision: 0.9736841917037964, Recall: 0.804347813129425, F1: 0.8809523582458496
Class 6 - Precision: 1.0, Recall: 0.8695651888847351, F1: 0.930232584476471
Class 7 - Precision: 0.97826087474823, Recall: 0.97826087474823, F1: 0.97826087474823
Class 8 - Precision: 0.9019607901573181, Recall: 1.0, F1: 0.9484536051750183
Class 9 - Precision: 0.5, Recall: 0.2857142984867096, F1: 0.3636363744735718
Class 10 - Precision: 0.7758620977401733, Recall: 0.97826087474823, F1: 0.8653846383094788
Class 11 - Precision: 1.0, Recall: 0.8913043737411499, F1: 0.9425287246704102
Class 12 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 13 - Precision: 0.6499999761581421, Recall: 0.8478260636329651, F1: 0.7358490824699402
Class 14 - Precision: 0.939393937587738, Recall: 0.6739130616188049, F1: 0.7848101258277893
Class 15 - Precision: 0.7799999713897705, Recall: 0.8478260636329651, F1: 0.8125
Class 16 - Precision: 0.6000000238418579, Recall: 0.5, F1: 0.5454545617103577
Class 17 - Precision: 0.8367347121238708, Recall: 0.8913043737411499, F1: 0.8631578683853149
Class 18 - Precision: 0.6800000071525574, Recall: 0.7083333134651184, F1: 0.6938775777816772
Class 19 - Precision: 0.97826087474823, Recall: 0.97826087474823, F1: 0.97826087474823
Class 20 - Precision: 0.9545454382896423, Recall: 0.9130434989929199, F1: 0.9333333373069763
Class 21 - Precision: 1.0, Recall: 0.8913043737411499, F1: 0.9425287246704102
Class 22 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 23 - Precision: 0.8600000143051147, Recall: 0.9347826242446899, F1: 0.8958333134651184
Class 24 - Precision: 0.8947368264198303, Recall: 0.739130437374115, F1: 0.8095238208770752
Class 25 - Precision: 0.8399999737739563, Recall: 0.9130434989929199, F1: 0.875
Class 26 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 27 - Precision: 1.0, Recall: 0.95652174949646, F1: 0.9777777791023254
Class 28 - Precision: 0.8679245114326477, Recall: 1.0, F1: 0.9292929172515869
Class 29 - Precision: 0.8947368264198303, Recall: 0.739130437374115, F1: 0.8095238208770752
Class 30 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 31 - Precision: 0.7407407164573669, Recall: 0.8695651888847351, F1: 0.800000011920929
Class 32 - Precision: 1.0, Recall: 0.8695651888847351, F1: 0.930232584476471
Class 33 - Precision: 0.9069767594337463, Recall: 0.8478260636329651, F1: 0.8764045238494873
Class 34 - Precision: 0.9729729890823364, Recall: 0.9729729890823364, F1: 0.9729729890823364
Class 35 - Precision: 0.8823529481887817, Recall: 0.9375, F1: 0.9090909361839294
Class 36 - Precision: 0.7916666865348816, Recall: 0.8260869383811951, F1: 0.8085106611251831
Class 37 - Precision: 0.9375, Recall: 0.97826087474823, F1: 0.957446813583374
Class 38 - Precision: 0.9322034120559692, Recall: 0.9016393423080444, F1: 0.9166666865348816
Class 39 - Precision: 0.7636363506317139, Recall: 0.9130434989929199, F1: 0.8316831588745117
Class 40 - Precision: 0.8541666865348816, Recall: 0.8913043737411499, F1: 0.8723404407501221
Class 41 - Precision: 0.8823529481887817, Recall: 0.6521739363670349, F1: 0.75
Class 42 - Precision: 1.0, Recall: 1.0, F1: 1.0
