Batch Size: 16, Learning Rate: 0.0002
Accuracy: 0.9010760188102722, Precision: 0.9069927930831909, Recall: 0.8933262228965759, F1: 0.8943608999252319
Balanced Accuracy: 0.8933262228965759
Matthews Correlation Coefficient (MCC): 0.8996745347976685
Cohen’s Kappa: 0.8994617462158203
Per-Class Precision, Recall, and F1 Scores:
Class 0 - Precision: 0.953125, Recall: 1.0, F1: 0.9760000109672546
Class 1 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 2 - Precision: 0.9166666865348816, Recall: 0.95652174949646, F1: 0.936170220375061
Class 3 - Precision: 0.9767441749572754, Recall: 0.9130434989929199, F1: 0.9438202381134033
Class 4 - Precision: 0.95652174949646, Recall: 0.95652174949646, F1: 0.95652174949646
Class 5 - Precision: 1.0, Recall: 0.8478260636329651, F1: 0.9176470637321472
Class 6 - Precision: 0.8958333134651184, Recall: 0.9347826242446899, F1: 0.914893627166748
Class 7 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 8 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 9 - Precision: 0.4444444477558136, Recall: 0.5714285969734192, F1: 0.5
Class 10 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 11 - Precision: 0.97826087474823, Recall: 0.97826087474823, F1: 0.97826087474823
Class 12 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 13 - Precision: 0.837837815284729, Recall: 0.6739130616188049, F1: 0.7469879388809204
Class 14 - Precision: 0.8648648858070374, Recall: 0.695652186870575, F1: 0.7710843086242676
Class 15 - Precision: 0.9142857193946838, Recall: 0.695652186870575, F1: 0.790123462677002
Class 16 - Precision: 0.7857142686843872, Recall: 0.6111111044883728, F1: 0.6875
Class 17 - Precision: 0.8837209343910217, Recall: 0.8260869383811951, F1: 0.8539325594902039
Class 18 - Precision: 0.5301204919815063, Recall: 0.9166666865348816, F1: 0.6717557311058044
Class 19 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 20 - Precision: 0.9555555582046509, Recall: 0.9347826242446899, F1: 0.9450549483299255
Class 21 - Precision: 0.9375, Recall: 0.97826087474823, F1: 0.957446813583374
Class 22 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 23 - Precision: 0.7321428656578064, Recall: 0.8913043737411499, F1: 0.8039215803146362
Class 24 - Precision: 0.9599999785423279, Recall: 0.52173912525177, F1: 0.6760563254356384
Class 25 - Precision: 0.7543859481811523, Recall: 0.9347826242446899, F1: 0.8349514603614807
Class 26 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 27 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 28 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 29 - Precision: 0.8163265585899353, Recall: 0.8695651888847351, F1: 0.8421052694320679
Class 30 - Precision: 1.0, Recall: 0.7857142686843872, F1: 0.8799999952316284
Class 31 - Precision: 0.7169811129570007, Recall: 0.8260869383811951, F1: 0.7676767706871033
Class 32 - Precision: 1.0, Recall: 0.8913043737411499, F1: 0.9425287246704102
Class 33 - Precision: 0.7096773982048035, Recall: 0.95652174949646, F1: 0.8148148059844971
Class 34 - Precision: 1.0, Recall: 0.9459459185600281, F1: 0.9722222089767456
Class 35 - Precision: 0.8709677457809448, Recall: 0.84375, F1: 0.8571428656578064
Class 36 - Precision: 0.930232584476471, Recall: 0.8695651888847351, F1: 0.898876428604126
Class 37 - Precision: 0.9722222089767456, Recall: 0.760869562625885, F1: 0.8536585569381714
Class 38 - Precision: 0.9636363387107849, Recall: 0.868852436542511, F1: 0.9137930870056152
Class 39 - Precision: 0.7777777910232544, Recall: 0.9130434989929199, F1: 0.8399999737739563
Class 40 - Precision: 0.875, Recall: 0.9130434989929199, F1: 0.8936170339584351
Class 41 - Precision: 0.7241379022598267, Recall: 0.9130434989929199, F1: 0.807692289352417
Class 42 - Precision: 1.0, Recall: 0.9399999976158142, F1: 0.969072163105011
Class 43 - Precision: 0.9365079402923584, Recall: 1.0, F1: 0.9672130942344666
Class 44 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 45 - Precision: 0.9655172228813171, Recall: 0.6086956262588501, F1: 0.746666669845581
Class 46 - Precision: 0.957446813583374, Recall: 0.97826087474823, F1: 0.9677419066429138
Class 47 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 48 - Precision: 0.9200000166893005, Recall: 1.0, F1: 0.9583333134651184
Class 49 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 50 - Precision: 1.0, Recall: 0.9318181872367859, F1: 0.9647058844566345
Class 51 - Precision: 0.9347826242446899, Recall: 0.9772727489471436, F1: 0.9555555582046509
Class 52 - Precision: 0.9583333134651184, Recall: 1.0, F1: 0.978723406791687
Class 53 - Precision: 0.9821428656578064, Recall: 0.9016393423080444, F1: 0.94017094373703
Class 54 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 55 - Precision: 0.9729729890823364, Recall: 0.782608687877655, F1: 0.8674699068069458
Class 56 - Precision: 0.9666666388511658, Recall: 0.6304348111152649, F1: 0.7631579041481018
Class 57 - Precision: 0.9375, Recall: 0.97826087474823, F1: 0.957446813583374
Class 58 - Precision: 0.7916666865348816, Recall: 0.8260869383811951, F1: 0.8085106611251831
Class 59 - Precision: 0.804347813129425, Recall: 0.804347813129425, F1: 0.804347813129425
Class 60 - Precision: 0.6730769276618958, Recall: 0.760869562625885, F1: 0.7142857313156128
Class 61 - Precision: 0.9487179517745972, Recall: 0.9024389982223511, F1: 0.925000011920929
Class 62 - Precision: 0.8035714030265808, Recall: 0.97826087474823, F1: 0.8823529481887817
Class 63 - Precision: 0.9333333373069763, Recall: 0.9130434989929199, F1: 0.9230769276618958
Class 64 - Precision: 0.918367326259613, Recall: 0.97826087474823, F1: 0.9473684430122375

--------------------------------------------------
