Batch Size: 32, Learning Rate: 0.0001
Accuracy: 0.9125303626060486, Precision: 0.9138527512550354, Recall: 0.9070334434509277, F1: 0.907782793045044
Balanced Accuracy: 0.9070334434509277
Matthews Correlation Coefficient (MCC): 0.9112029671669006
Cohen’s Kappa: 0.9111047983169556
Per-Class Precision, Recall, and F1 Scores:
Class 0 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 1 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 2 - Precision: 0.8823529481887817, Recall: 0.97826087474823, F1: 0.9278350472450256
Class 3 - Precision: 0.930232584476471, Recall: 0.8695651888847351, F1: 0.898876428604126
Class 4 - Precision: 0.8979591727256775, Recall: 0.95652174949646, F1: 0.9263157844543457
Class 5 - Precision: 0.9756097793579102, Recall: 0.8695651888847351, F1: 0.9195402264595032
Class 6 - Precision: 1.0, Recall: 0.804347813129425, F1: 0.891566276550293
Class 7 - Precision: 0.97826087474823, Recall: 0.97826087474823, F1: 0.97826087474823
Class 8 - Precision: 1.0, Recall: 0.95652174949646, F1: 0.9777777791023254
Class 9 - Precision: 0.5714285969734192, Recall: 0.5714285969734192, F1: 0.5714285969734192
Class 10 - Precision: 0.957446813583374, Recall: 0.97826087474823, F1: 0.9677419066429138
Class 11 - Precision: 0.9777777791023254, Recall: 0.95652174949646, F1: 0.9670329689979553
Class 12 - Precision: 1.0, Recall: 0.95652174949646, F1: 0.9777777791023254
Class 13 - Precision: 0.7599999904632568, Recall: 0.8260869383811951, F1: 0.7916666865348816
Class 14 - Precision: 0.8372092843055725, Recall: 0.782608687877655, F1: 0.8089887499809265
Class 15 - Precision: 0.9285714030265808, Recall: 0.8478260636329651, F1: 0.8863636255264282
Class 16 - Precision: 0.7857142686843872, Recall: 0.6111111044883728, F1: 0.6875
Class 17 - Precision: 0.8837209343910217, Recall: 0.8260869383811951, F1: 0.8539325594902039
Class 18 - Precision: 0.7142857313156128, Recall: 0.8333333134651184, F1: 0.7692307829856873
Class 19 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 20 - Precision: 0.9756097793579102, Recall: 0.8695651888847351, F1: 0.9195402264595032
Class 21 - Precision: 0.9534883499145508, Recall: 0.8913043737411499, F1: 0.9213483333587646
Class 22 - Precision: 0.97826087474823, Recall: 0.97826087474823, F1: 0.97826087474823
Class 23 - Precision: 0.843137264251709, Recall: 0.9347826242446899, F1: 0.8865979313850403
Class 24 - Precision: 0.8999999761581421, Recall: 0.782608687877655, F1: 0.8372092843055725
Class 25 - Precision: 0.8723404407501221, Recall: 0.8913043737411499, F1: 0.8817204236984253
Class 26 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 27 - Precision: 0.8823529481887817, Recall: 0.97826087474823, F1: 0.9278350472450256
Class 28 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 29 - Precision: 0.6557376980781555, Recall: 0.8695651888847351, F1: 0.7476635575294495
Class 30 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 31 - Precision: 0.8717948794364929, Recall: 0.739130437374115, F1: 0.800000011920929
Class 32 - Precision: 0.9318181872367859, Recall: 0.8913043737411499, F1: 0.9111111164093018
Class 33 - Precision: 0.9750000238418579, Recall: 0.8478260636329651, F1: 0.9069767594337463
Class 34 - Precision: 0.9459459185600281, Recall: 0.9459459185600281, F1: 0.9459459185600281
Class 35 - Precision: 0.8823529481887817, Recall: 0.9375, F1: 0.9090909361839294
Class 36 - Precision: 0.8478260636329651, Recall: 0.8478260636329651, F1: 0.8478260636329651
Class 37 - Precision: 0.9333333373069763, Recall: 0.9130434989929199, F1: 0.9230769276618958
Class 38 - Precision: 0.9016393423080444, Recall: 0.9016393423080444, F1: 0.9016393423080444
Class 39 - Precision: 0.9756097793579102, Recall: 0.8695651888847351, F1: 0.9195402264595032
Class 40 - Precision: 0.8269230723381042, Recall: 0.9347826242446899, F1: 0.8775510191917419
Class 41 - Precision: 0.8571428656578064, Recall: 0.6521739363670349, F1: 0.7407407164573669
Class 42 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 43 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 44 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 45 - Precision: 0.71875, Recall: 1.0, F1: 0.8363636136054993
