Batch Size: 32, Learning Rate: 0.0002
Accuracy: 0.9062825441360474, Precision: 0.9070119261741638, Recall: 0.902036190032959, F1: 0.9011219143867493
Balanced Accuracy: 0.902036190032959
Matthews Correlation Coefficient (MCC): 0.9048725962638855
Cohen’s Kappa: 0.9047563672065735
Per-Class Precision, Recall, and F1 Scores:
Class 0 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 1 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 2 - Precision: 0.9555555582046509, Recall: 0.9347826242446899, F1: 0.9450549483299255
Class 3 - Precision: 0.9166666865348816, Recall: 0.95652174949646, F1: 0.936170220375061
Class 4 - Precision: 0.9019607901573181, Recall: 1.0, F1: 0.9484536051750183
Class 5 - Precision: 0.9111111164093018, Recall: 0.8913043737411499, F1: 0.901098906993866
Class 6 - Precision: 0.8863636255264282, Recall: 0.8478260636329651, F1: 0.8666666746139526
Class 7 - Precision: 1.0, Recall: 0.9347826242446899, F1: 0.966292142868042
Class 8 - Precision: 0.9583333134651184, Recall: 1.0, F1: 0.978723406791687
Class 9 - Precision: 0.625, Recall: 0.7142857313156128, F1: 0.6666666865348816
Class 10 - Precision: 0.9777777791023254, Recall: 0.95652174949646, F1: 0.9670329689979553
Class 11 - Precision: 1.0, Recall: 0.95652174949646, F1: 0.9777777791023254
Class 12 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 13 - Precision: 0.8846153616905212, Recall: 0.5, F1: 0.6388888955116272
Class 14 - Precision: 0.5694444179534912, Recall: 0.8913043737411499, F1: 0.694915235042572
Class 15 - Precision: 0.8888888955116272, Recall: 0.8695651888847351, F1: 0.8791208863258362
Class 16 - Precision: 0.7272727489471436, Recall: 0.4444444477558136, F1: 0.5517241358757019
Class 17 - Precision: 0.8666666746139526, Recall: 0.8478260636329651, F1: 0.8571428656578064
Class 18 - Precision: 0.6666666865348816, Recall: 0.7083333134651184, F1: 0.6868686676025391
Class 19 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 20 - Precision: 0.9555555582046509, Recall: 0.9347826242446899, F1: 0.9450549483299255
Class 21 - Precision: 1.0, Recall: 0.9347826242446899, F1: 0.966292142868042
Class 22 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 23 - Precision: 0.8979591727256775, Recall: 0.95652174949646, F1: 0.9263157844543457
Class 24 - Precision: 0.8863636255264282, Recall: 0.8478260636329651, F1: 0.8666666746139526
Class 25 - Precision: 0.9333333373069763, Recall: 0.9130434989929199, F1: 0.9230769276618958
Class 26 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 27 - Precision: 1.0, Recall: 0.95652174949646, F1: 0.9777777791023254
Class 28 - Precision: 0.9583333134651184, Recall: 1.0, F1: 0.978723406791687
Class 29 - Precision: 0.8297872543334961, Recall: 0.8478260636329651, F1: 0.8387096524238586
Class 30 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 31 - Precision: 0.7777777910232544, Recall: 0.9130434989929199, F1: 0.8399999737739563
Class 32 - Precision: 0.914893627166748, Recall: 0.9347826242446899, F1: 0.9247311949729919
Class 33 - Precision: 0.7954545617103577, Recall: 0.760869562625885, F1: 0.7777777910232544
Class 34 - Precision: 0.8571428656578064, Recall: 0.9729729890823364, F1: 0.9113923907279968
Class 35 - Precision: 0.9333333373069763, Recall: 0.875, F1: 0.9032257795333862
Class 36 - Precision: 0.7592592835426331, Recall: 0.8913043737411499, F1: 0.8199999928474426
Class 37 - Precision: 0.9777777791023254, Recall: 0.95652174949646, F1: 0.9670329689979553
Class 38 - Precision: 0.9215686321258545, Recall: 0.7704917788505554, F1: 0.8392857313156128
Class 39 - Precision: 0.9111111164093018, Recall: 0.8913043737411499, F1: 0.901098906993866
Class 40 - Precision: 0.8039215803146362, Recall: 0.8913043737411499, F1: 0.8453608155250549
Class 41 - Precision: 0.7435897588729858, Recall: 0.6304348111152649, F1: 0.6823529601097107
Class 42 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 43 - Precision: 0.9833333492279053, Recall: 1.0, F1: 0.9915966391563416
Class 44 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 45 - Precision: 0.8799999952316284, Recall: 0.95652174949646, F1: 0.9166666865348816
Class 46 - Precision: 0.9772727489471436, Recall: 0.9347826242446899, F1: 0.9555555582046509
